,Year,Population,GDP,Energy_consumption,Per_Capita_Energy_consumption,Energy_Intensity,Energy_Productivity,Region,Lat,Long,Per_Capita_CO2_Emissions,Nonrenewable_Sources,Renewable_Sources,Energy_Generation,Agriculture,Mining,Manufacturing,Utilities,Construction,Commercial,Transport,Residential,Solvents,Energy_Consumption
140,2007,213748,18791,82.787,387.313,4405.693,226.979,NT,-19.491411,132.550964,NA,NA,NA,NA,1.097,26.478,23.289,6.129,0.366,6.259,15.833,2.838,0.5,82.787
141,2008,219874,19162,95.995,436.589,5009.63,199.616,NT,-19.491411,132.550964,NA,NA,NA,NA,1.1,24.496,27.135,16.483,0.36,6.454,16.273,2.995,0.7,95.995
142,2009,226027,20437,95.099,420.742,4653.276,214.902,NT,-19.491411,132.550964,NA,2912.7,9.7,2922.4,1.261,25.075,21.475,21.431,0.353,6.89,14.828,3.185,0.6,95.099
143,2010,229778,20147,94.206,409.987,4675.928,213.861,NT,-19.491411,132.550964,NA,3253.1,13.5,3266.6,1.263,20.024,22.964,24.128,0.332,7.499,14.284,3.312,0.4,94.206
144,2011,231292,20635,99.791,431.449,4835.995,206.783,NT,-19.491411,132.550964,NA,3076.6,14.3,3090.9,1.26,23.405,24.043,22.584,0.323,6.157,18.81,2.686,0.524,99.791
145,2012,235915,21607,98.196,416.233,4544.617,220.041,NT,-19.491411,132.550964,NA,3130.2,17.4,3147.6,1.263,21.464,24.244,23.109,0.337,6.635,18.447,2.308,0.389,98.196
146,2013,241722,24189,100.119,414.191,4139.032,241.602,NT,-19.491411,132.550964,NA,3291,23.4,3314.4,1.28,26.012,23.207,22.271,0.338,6.265,18.23,2.077,0.44,100.119
147,2014,242894,24502,99.068,407.864,4043.254,247.326,NT,-19.491411,132.550964,NA,3432.5,33.315,3465.815,1.172,26.144,17.914,23.311,0.397,9.018,18.573,2.24,0.3,99.068
148,2015,244692,25105,83.693,342.034,3333.716,299.966,NT,-19.491411,132.550964,NA,2952.7,44.304,2997.004,1.21,24.955,2.364,24.309,0.517,6.778,21.159,2.122,0.278,83.693
149,2016,245678,25601,83.929,341.621,3278.343,305.032,NT,-19.491411,132.550964,NA,3007.344,58.65,3065.994,1.251,26.866,1.219,23.539,0.53,7.064,21.044,2.149,0.268,83.929
150,2017,247517,25977,83.206,336.163,3203.071,312.2,NT,-19.491411,132.550964,NA,2903.895,87.332,2991.227,1.67,24.906,1.165,24.659,0.537,7.233,20.72,2.096,0.221,83.206
151,2018,247058,26501,91.055,368.555,3435.892,291.045,NT,-19.491411,132.550964,NA,3384.935,124.885,3509.82,1.674,27.987,1.128,27.945,0.377,7.087,22.551,2.124,0.183,91.055
152,2019,246103,26109,140.056,569.094,5364.272,186.419,NT,-19.491411,132.550964,NA,4298.205,159.32,4457.525,1.849,59.098,0.493,39.266,0.377,6.718,29.9,2.22,0.135,140.056
